"Devicename";"Deviceaddress";"Devicetype"
"atdnt32";"138.103.152.61";"Microsoft_OS_Windows"
"atdnt51";"138.103.152.51";"Microsoft_OS_Windows"
"atdnt53";"138.103.152.53";"Microsoft_OS_Windows"
"auint105";"10.55.28.6";"Microsoft_OS_Windows"
"brint60";"164.4.156.41";"Microsoft_OS_Windows"
"btipdcsvr";"10.36.228.5";"Microsoft_OS_Windows"
"caint13";"138.103.162.67";"Microsoft_OS_Windows"
"caint1";"138.103.81.40";"Microsoft_OS_Windows"
"cncatsm01";"10.37.40.54";"Microsoft_OS_Windows"
"cndnt41";"138.103.18.9";"Microsoft_OS_Windows"
"cndnt51";"10.37.40.52";"Microsoft_OS_Windows"
"cnint99";"138.103.18.62";"Microsoft_OS_Windows"
"decfs60";"164.4.118.14";"Microsoft_OS_Windows"
"decnt102";"138.103.54.136";"Microsoft_OS_Windows"
"decnt160";"138.103.167.251";"Microsoft_OS_Windows"
"decnt161";"138.103.167.252";"Microsoft_OS_Windows"
"decnt186";"138.103.52.112";"Microsoft_OS_Windows"
"decnt216";"138.103.52.146";"Microsoft_OS_Windows"
"decnt223";"138.103.90.252";"Microsoft_OS_Windows"
"decnt234";"138.103.55.212";"Microsoft_OS_Windows"
"decnt99";"138.103.55.235";"Microsoft_OS_Windows"
"decnt9";"138.103.166.10";"Microsoft_OS_Windows"
"deint102";"138.103.52.15";"Microsoft_OS_Windows"
"deint103";"138.103.52.43";"Microsoft_OS_Windows"
"deint116";"138.103.167.67";"Microsoft_OS_Windows"
"deint12";"164.4.242.231";"Microsoft_OS_Windows"
"deint163";"138.103.52.25";"Microsoft_OS_Windows"
"deint165";"138.103.55.36";"Microsoft_OS_Windows"
"deint172";"138.103.89.184";"Microsoft_OS_Windows"
"deint179";"138.103.55.249";"Microsoft_OS_Windows"
"deint183";"138.103.167.161";"Microsoft_OS_Windows"
"deint184";"138.103.89.252";"Microsoft_OS_Windows"
"deint185";"138.103.90.88";"Microsoft_OS_Windows"
"deint192";"138.103.90.169";"Microsoft_OS_Windows"
