"MachineName";"Publish";"Protocol";"Store";"AddressFamily";"State";"ifIndex";"Caption";"Description";"ElementName";"InstanceID";"AdminDistance";"DestinationAddress";"IsStatic";"RouteMetric";"TypeOfRoute";"CompartmentId";"DestinationPrefix";"InterfaceAlias";"InterfaceIndex";"InterfaceMetric";"NextHop";"PreferredLifetime";"ValidLifetime";"PSComputerName"
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"4";;;;"<??8<??8<??8<??9=<55>55:8:8:8:55;";;;;"256";"3";"1";"255.255.255.255/32";"Ethernet1";"4";"15";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"8";;;;"<??8<??8<??8<??9=<55B55:8:8:8:55;";;;;"256";"3";"1";"255.255.255.255/32";"Local Area Connection";"8";"25";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"1";;;;"<??8<??8<??8<??9=<55;55:8:8:8:55;";;;;"256";"3";"1";"255.255.255.255/32";"Loopback Pseudo-Interface 1";"1";"75";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"4";;;;"<<>8:8:8:9>55>55:8:8:8:55;";;;;"256";"3";"1";"224.0.0.0/4";"Ethernet1";"4";"15";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"8";;;;"<<>8:8:8:9>55B55:8:8:8:55;";;;;"256";"3";"1";"224.0.0.0/4";"Local Area Connection";"8";"25";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"1";;;;"<<>8:8:8:9>55;55:8:8:8:55;";;;;"256";"3";"1";"224.0.0.0/4";"Loopback Pseudo-Interface 1";"1";"75";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"4";;;;";@C8<?>8<??8<??9=<55>55:8:8:8:55;";;;;"256";"3";"1";"169.254.255.255/32";"Ethernet1";"4";"15";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"4";;;;";@C8<?>8<=;8;?9=<55>55:8:8:8:55;";;;;"256";"3";"1";"169.254.231.15/32";"Ethernet1";"4";"15";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"4";;;;";@C8<?>8:8:9;@55>55:8:8:8:55;";;;;"256";"3";"1";"169.254.0.0/16";"Ethernet1";"4";"15";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"8";;;;";=B8;:=8;?C8<??9=<55B55:8:8:8:55;";;;;"256";"3";"1";"138.103.159.255/32";"Local Area Connection";"8";"25";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"8";;;;";=B8;:=8;?<8@;9=<55B55:8:8:8:55;";;;;"256";"3";"1";"138.103.152.61/32";"Local Area Connection";"8";"25";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"8";;;;";=B8;:=8;?<8:9<;55B55:8:8:8:55;";;;;"256";"3";"1";"138.103.152.0/21";"Local Area Connection";"8";"25";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"1";;;;";<A8<??8<??8<??9=<55;55:8:8:8:55;";;;;"256";"3";"1";"127.255.255.255/32";"Loopback Pseudo-Interface 1";"1";"75";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"1";;;;";<A8:8:8;9=<55;55:8:8:8:55;";;;;"256";"3";"1";"127.0.0.1/32";"Loopback Pseudo-Interface 1";"1";"75";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv4";"Alive";"1";;;;";<A8:8:8:9B55;55:8:8:8:55;";;;;"256";"3";"1";"127.0.0.0/8";"Loopback Pseudo-Interface 1";"1";"75";"0.0.0.0";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"NetMgmt";"ActiveStore";"IPv4";"Alive";"8";;;;":8:8:8:9:55B55;=B8;:=8;?C8?;55;";;;;"256";"3";"1";"0.0.0.0/0";"Local Area Connection";"8";"25";"138.103.159.51";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
"atdnt32";"No";"Local";"ActiveStore";"IPv6";"Alive";"1";;;;"pp::DD9B55;55DD55;";;;;"256";"3";"1";"ff00::/8";"Loopback Pseudo-Interface 1";"1";"75";"::";"10675199.02:48:05.4775807";"10675199.02:48:05.4775807";
