"MachineName";"Role";"Group";"UserName";"Disabled";"Password_Last_Time_Set";"SID";"Days";"UID_Label"
"atdnt32";"Standalone";"Administrators";"Administrator";"False";"07/24/2025 13:10:41";"S-1-5-21-641515725-2035118685-1094046605-500";"104";"SE/C///Built-in account for administering the computer/domain"
"atdnt32";"Standalone";"Administrators";"IBMAdmin";"False";"08/06/2019 14:05:55";"S-1-5-21-641515725-2035118685-1094046605-1015";"2283";"846/F/*SESK08/Kyndryl/IBM owned local user with Administrator rights"
"atdnt32";"Standalone";"Guests";"Guest";"True";"01/30/2015 15:28:49";"S-1-5-21-641515725-2035118685-1094046605-501";"3932";"SE/S/*SESK08//Built-in account for guest access to the computer/domain"
"atdnt51";"Standalone";"Administrators";"Administrator";"False";"08/11/2016 13:15:02";"S-1-5-21-1803610124-789680017-3037003516-500";"3373";"SE/C///Built-in account for administering the computer/domain"
"atdnt51";"Standalone";"Administrators";"IBMAdmin";"False";"08/06/2019 14:48:19";"S-1-5-21-1803610124-789680017-3037003516-1339";"2283";"846/F/*SESK08/Kyndryl/IBM owned local user with Administrator rights"
"atdnt51";"Standalone";"Guests";"Guest";"True";"05/23/2014 09:15:04";"S-1-5-21-1803610124-789680017-3037003516-501";"4184";"SE/S/*SESK08//Built-in account for guest access to the computer/domain"
"atdnt53";"Standalone";"Administrators";"admin";"True";"08/23/2018 08:43:45";"S-1-5-21-868307841-1324087255-3011471824-1018";"2631";"SE/C///"
"atdnt53";"Standalone";"Administrators";"admin2";"True";"11/09/2018 16:09:48";"S-1-5-21-868307841-1324087255-3011471824-1019";"2553";"SE/C///"
"atdnt53";"Standalone";"Administrators";"Administrator";"False";"06/15/2016 12:19:51";"S-1-5-21-868307841-1324087255-3011471824-500";"3430";"SE/C///Built-in account for administering the computer/domain"
"atdnt53";"Standalone";"Administrators";"IBMAdmin";"False";"03/08/2025 06:56:58";"S-1-5-21-868307841-1324087255-3011471824-1014";"242";"846/F/*SESK08/Kyndryl/IBM owned local user with Administrator rights"
"atdnt53";"Standalone";"Guests";"Guest";"True";"02/02/2015 09:48:10";"S-1-5-21-868307841-1324087255-3011471824-501";"3929";"SE/S/*SESK08//Built-in account for guest access to the computer/domain"
"auint105";"Standalone";"Administrators";"Administrator";"False";"10/25/2024 03:46:52";"S-1-5-21-1129404879-1733394071-3730126802-500";"377";"SE/C///Built-in account for administering the computer/domain"
"auint105";"Standalone";"Administrators";"GreenMoore";"False";"03/07/2025 11:23:41";"S-1-5-21-1129404879-1733394071-3730126802-1012";"243";""
"auint105";"Standalone";"Administrators";"IBMAdmin";"False";"12/13/2024 14:38:04";"S-1-5-21-1129404879-1733394071-3730126802-1000";"327";"846/F/*SESK08/Kyndryl/IBM owned local user with Administrator rights"
"auint105";"Standalone";"Administrators";"MATTEC Web User";"False";"02/24/2025 11:36:39";"S-1-5-21-1129404879-1733394071-3730126802-1004";"254";""
"auint105";"Standalone";"Administrators";"sysAUINT105repo";"False";"01/16/2025 00:19:07";"S-1-5-21-1129404879-1733394071-3730126802-1003";"294";"SE/S/*SESK22//Built-in account for VEeam  access to the computer/domain"
"auint105";"Standalone";"Administrators";"test";"False";"09/20/2025 18:27:00";"S-1-5-21-1129404879-1733394071-3730126802-1014";"46";""
"auint105";"Standalone";"Guests";"Guest";"True";"10/25/2024 04:39:15";"S-1-5-21-1129404879-1733394071-3730126802-501";"377";"SE/S/*SESK08//Built-in account for guest access to the computer/domain"
"brint60";"Standalone";"Administrators";"Administrator";"False";"09/29/2025 10:17:24";"S-1-5-21-399026957-940622893-1844863746-500";"37";"SE/C///Built-in account for administering the computer/domain"
"brint60";"Standalone";"Administrators";"brmeBRINT60vbr";"False";"01/16/2025 08:09:30";"S-1-5-21-399026957-940622893-1844863746-1002";"293";"SE/S/*SESK22//Built-in account for Veeam  access to the computer/domain"
"brint60";"Standalone";"Guests";"Guest";"True";"10/06/2023 03:36:30";"S-1-5-21-399026957-940622893-1844863746-501";"761";"SE/S/*SESK08//Built-in account for guest access to the computer/domain"
"btipdcsvr";"Standalone";"Administrators";"Adam";"False";"04/08/2025 08:09:07";"S-1-5-21-4292163963-3354392493-381269246-1010";"211";""
"btipdcsvr";"Standalone";"Administrators";"admin";"False";"04/08/2025 07:32:22";"S-1-5-21-4292163963-3354392493-381269246-1005";"211";"Second Administrator Account"
"btipdcsvr";"Standalone";"Administrators";"Administrator";"False";"12/31/2024 16:20:15";"S-1-5-21-4292163963-3354392493-381269246-500";"308";"SE/C///Built-in account for administering the computer/domain"
"btipdcsvr";"Standalone";"Administrators";"Franz";"False";"01/08/2025 07:58:50";"S-1-5-21-4292163963-3354392493-381269246-1008";"301";""
"btipdcsvr";"Standalone";"Administrators";"Herbert";"False";"04/08/2025 08:08:10";"S-1-5-21-4292163963-3354392493-381269246-1009";"211";""
"btipdcsvr";"Standalone";"Administrators";"ptsao";"False";"12/18/2024 11:30:51";"S-1-5-21-4292163963-3354392493-381269246-1002";"322";"Secondary Admin Account"
"btipdcsvr";"Standalone";"Administrators";"sqlsvc";"False";"12/18/2024 14:12:04";"S-1-5-21-4292163963-3354392493-381269246-1004";"322";"ServiceAccount for Local SQL Server"
"btipdcsvr";"Standalone";"Administrators";"svcacct";"False";"";"S-1-5-21-4292163963-3354392493-381269246-1000";"";""
"btipdcsvr";"Standalone";"Administrators";"Travis";"False";"01/07/2025 08:08:33";"S-1-5-21-4292163963-3354392493-381269246-1006";"302";"Local Account for Travis"
