"MachineName";"Port";"Open"
"atdnt32";"20";"False"
"atdnt32";"21";"False"
"atdnt32";"23";"False"
"atdnt32";"69";"False"
"atdnt32";"80";"True"
"atdnt32";"119";"False"
"atdnt51";"20";"False"
"atdnt51";"21";"False"
"atdnt51";"23";"False"
"atdnt51";"69";"False"
"atdnt51";"80";"True"
"atdnt51";"119";"False"
"atdnt53";"20";"False"
"atdnt53";"21";"False"
"atdnt53";"23";"False"
"atdnt53";"69";"False"
"atdnt53";"80";"False"
"atdnt53";"119";"False"
"auint105";"20";"False"
"auint105";"21";"False"
"auint105";"23";"False"
"auint105";"69";"False"
"auint105";"80";"True"
"auint105";"119";"False"
"brint60";"20";"False"
"brint60";"21";"False"
"brint60";"23";"False"
"brint60";"69";"False"
"brint60";"80";"True"
"brint60";"119";"False"
"btipdcsvr";"20";"False"
"btipdcsvr";"21";"False"
"btipdcsvr";"23";"False"
"btipdcsvr";"69";"False"
"btipdcsvr";"80";"False"
"btipdcsvr";"119";"False"
"caint13";"20";"False"
"caint13";"21";"False"
"caint13";"23";"False"
"caint13";"69";"False"
"caint13";"80";"True"
"caint13";"119";"False"
"caint1";"20";"False"
"caint1";"21";"False"
"caint1";"23";"False"
"caint1";"69";"False"
"caint1";"80";"False"
"caint1";"119";"False"
"cncatsm01";"20";"False"
"cncatsm01";"21";"False"
"cncatsm01";"23";"False"
"cncatsm01";"69";"False"
"cncatsm01";"80";"False"
"cncatsm01";"119";"False"
"cndnt41";"20";"False"
"cndnt41";"21";"False"
"cndnt41";"23";"False"
"cndnt41";"69";"False"
"cndnt41";"80";"False"
"cndnt41";"119";"False"
"cndnt51";"20";"False"
"cndnt51";"21";"False"
"cndnt51";"23";"False"
"cndnt51";"69";"False"
"cndnt51";"80";"False"
"cndnt51";"119";"False"
"cnint99";"20";"False"
"cnint99";"21";"False"
"cnint99";"23";"False"
"cnint99";"69";"False"
"cnint99";"80";"True"
"cnint99";"119";"False"
"decfs60";"20";"False"
"decfs60";"21";"False"
"decfs60";"23";"False"
"decfs60";"69";"False"
"decfs60";"80";"False"
"decfs60";"119";"False"
"decnt102";"20";"False"
"decnt102";"21";"False"
"decnt102";"23";"False"
"decnt102";"69";"False"
"decnt102";"80";"False"
"decnt102";"119";"False"
"decnt160";"20";"False"
"decnt160";"21";"False"
"decnt160";"23";"False"
"decnt160";"69";"False"
"decnt160";"80";"False"
"decnt160";"119";"False"
"decnt161";"20";"False"
"decnt161";"21";"False"
"decnt161";"23";"False"
"decnt161";"69";"False"
"decnt161";"80";"False"
"decnt161";"119";"False"
"decnt186";"20";"False"
"decnt186";"21";"False"
"decnt186";"23";"False"
"decnt186";"69";"False"
"decnt186";"80";"False"
"decnt186";"119";"False"
"decnt216";"20";"False"
"decnt216";"21";"False"
"decnt216";"23";"False"
"decnt216";"69";"False"
"decnt216";"80";"False"
"decnt216";"119";"False"
"decnt223";"20";"False"
"decnt223";"21";"False"
"decnt223";"23";"False"
"decnt223";"69";"False"
"decnt223";"80";"False"
"decnt223";"119";"False"
"decnt234";"20";"False"
"decnt234";"21";"False"
"decnt234";"23";"False"
"decnt234";"69";"False"
"decnt234";"80";"True"
"decnt234";"119";"False"
"decnt99";"20";"False"
"decnt99";"21";"False"
"decnt99";"23";"False"
"decnt99";"69";"False"
"decnt99";"80";"False"
"decnt99";"119";"False"
"decnt9";"20";"False"
"decnt9";"21";"False"
"decnt9";"23";"False"
"decnt9";"69";"False"
"decnt9";"80";"False"
"decnt9";"119";"False"
"deint102";"20";"False"
"deint102";"21";"False"
"deint102";"23";"False"
"deint102";"69";"False"
"deint102";"80";"False"
"deint102";"119";"False"
"deint103";"20";"False"
"deint103";"21";"False"
"deint103";"23";"False"
"deint103";"69";"False"
"deint103";"80";"False"
"deint103";"119";"False"
"deint116";"20";"False"
