"MachineName";"Manufacturer";"Model";"OperatingSystem";"OperatingSystem ServicePack";"BuildNumber";"Version";"InstallDate";"License";"Uptime";"BootDevice";"SystemDevice";"SystemDirectory";"WindowsDirectory";"OSArchitecture";"PowerShellVersion";"CurrentTimeZone";"Debug";"Distributed";"EncryptionLevel";"DNS Host Name";"Domain Role";"Roles";"Serial Number";"CPU Array";"CPU cores";"CPU LogicalProcessors";"RAM (GB)";"PageFilePath";"AutoManagedPageFile";"PageFileSize(MB)";"PageFileUsage(MB)";"PageFilePeakUsage(MB)";"TempPageFileInUse";"ProductKeyChannel";"UUID";"FQDN"
"ATDNT32";"VMware, Inc.";"VMware Virtual Platform";"Microsoft Windows Server 2022 Standard";"0";"20348";"10.0.20348";"18.07.2025 21:02:53";"Licensed";"03.11.2025 04:01:07";"\Device\HarddiskVolume1";"\Device\HarddiskVolume2";"C:\WINDOWS\system32";"C:\WINDOWS";"64-bit";"5.1.20348.4294";"60";"False";"False";"256";"ATDNT32";"Member Server";"LM_Workstation,LM_Server,SQLServer,Print,NT,Server_NT,DFS";"VMware-56 4d 0d 90 4f 6f f6 ef-34 5c 06 3d 07 27 d3 34";"Intel(R) Xeon(R) Gold 6150 CPU @ 2.70GHz";"2";"2";"32";"C:\pagefile.sys";"False";"10000";"222";"335";"False";"Volume:GVLK";"900D4D56-6F4F-EFF6-345C-063D0727D334";"ATDNT32.win.dom.sandvik.com"
"ATDNT51";"IBM";"System x3650 M3 -[7945D2G]-";"Microsoft Windows Server 2016 Standard";"0";"14393";"10.0.14393";"4/13/2019 7:12:14 PM";"Licensed";"10/19/2025 4:27:59 PM";"\Device\HarddiskVolume1";"\Device\HarddiskVolume1";"C:\WINDOWS\system32";"C:\WINDOWS";"64-bit";"5.1.14393.8519";"60";"False";"False";"256";"ATDNT51";"Member Server";"LM_Workstation,LM_Server,NT,Server_NT";"KD19KCV";"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz";"4";"8";"11.99";"C:\pagefile.sys";"True";"12288";"248";"471";"False";"Volume:GVLK";"B2416B12-CCF9-1F3F-9709-7D827AA0019E";"ATDNT51.win.dom.sandvik.com"
"ATDNT53";"VMware, Inc.";"VMware Virtual Platform";"Microsoft Windows Server 2019 Standard";"0";"17763";"10.0.17763";"08.03.2025 10:18:06";"Licensed";"19.10.2025 16:02:42";"\Device\HarddiskVolume1";"\Device\HarddiskVolume1";"C:\WINDOWS\system32";"C:\WINDOWS";"64-bit";"5.1.17763.7919";"60";"False";"False";"256";"ATDNT53";"Member Server";"LM_Workstation,LM_Server,NT,Server_NT,Potential_Browser,Master_Browser";"VMware-42 32 f0 f5 74 d3 75 ea-c1 f6 3d 07 a9 a3 69 bd";"Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz";"8";"8";"96";"C:\pagefile.sys,D:\pagefile.sys";"False";"8192,6144";"36,5";"182,11";"False,False";"Volume:GVLK";"F5F03242-D374-EA75-C1F6-3D07A9A369BD";"ATDNT53.win.dom.sandvik.com"
"AUINT105";"Lenovo";"ThinkSystem SR650 -[7X06CTO1WW]-";"Microsoft Windows Server 2019 Standard";"0";"17763";"10.0.17763";"10/25/2024 3:46:53 AM";"Licensed";"10/25/2025 11:27:18 PM";"\Device\HarddiskVolume2";"\Device\HarddiskVolume4";"C:\Windows\system32";"C:\Windows";"64-bit";"5.1.17763.7919";"660";"False";"False";"256";"AUINT105";"Member Server";"LM_Workstation,LM_Server,SQLServer,NT,Server_NT";"J30A3RFV";"Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz";"16";"32";"95.69";"C:\pagefile.sys";"False";"4096";"0";"0";"False";"Volume:GVLK";"9E62FB34-D3A2-11EC-986D-3A68DD760A9F";"AUINT105.win.dom.sandvik.com"
"BRINT60";"Lenovo";"ThinkSystem SR650 -[7X06CTO1WW]-";"Microsoft Windows Server 2019 Standard";"0";"17763";"10.0.17763";"10/6/2023 3:17:14 AM";"Licensed";"10/19/2025 9:04:20 AM";"\Device\HarddiskVolume2";"\Device\HarddiskVolume4";"C:\Windows\system32";"C:\Windows";"64-bit";"5.1.17763.7919";"-180";"False";"False";"256";"BRINT60";"Member Server";"LM_Workstation,LM_Server,Print,NT,Server_NT,DFS";"J5000KKB";"Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz";"16";"32";"95.69";"P:\pagefile.sys";"False";"98304";"627";"677";"False";"Volume:GVLK";"91954467-93E6-11ED-AF18-C87C10045CF7";"BRINT60.win.dom.sandvik.com"
"BTIPDCSVR";"Dell Inc.";"PowerEdge R450";"Microsoft Windows Server 2022 Standard";"0";"20348";"10.0.20348";"9/1/2023 2:25:52 PM";"Licensed";"10/18/2025 10:09:41 PM";"\Device\HarddiskVolume1";"\Device\HarddiskVolume4";"C:\Windows\system32";"C:\Windows";"64-bit";"5.1.20348.4294";"-300";"False";"False";"256";"BTIPDCSVR";"Member Server";"LM_Workstation,LM_Server,SQLServer,NT,Server_NT";"2X8GRY3";"Intel(R) Xeon(R) Silver 4314 CPU @ 2.40GHz";"16";"32";"63.46";"C:\pagefile.sys";"True";"9728";"0";"0";"False";"OEM:SLP";"4C4C4544-0058-3810-8047-B2C04F525933";"BTIPDCSVR.win.dom.sandvik.com"
"CAINT13";"Lenovo";"ThinkSystem SR650 -[7X06CTO1WW]-";"Microsoft Windows Server 2019 Standard";"0";"17763";"10.0.17763";"10/19/2022 2:26:23 AM";"Licensed";"10/17/2025 10:36:13 PM";"\Device\HarddiskVolume2";"\Device\HarddiskVolume4";"C:\Windows\system32";"C:\Windows";"64-bit";"5.1.17763.7919";"-300";"False";"False";"256";"CAINT13";"Member Server";"LM_Workstation,LM_Server,NT,Server_NT,DFS";"J102ABTY";"Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz";"16";"32";"95.69";"P:\pagefile.sys";"False";"98304";"168";"256";"False";"Volume:GVLK";"81B694C8-242A-11ED-BC10-3A68DD801797";"CAINT13.win.dom.sandvik.com"
"CAINT1";"Lenovo";"ThinkSystem SR570 -[7Y03CTO1WW]-";"Microsoft Windows Server 2019 Standard";"0";"17763";"10.0.17763";"1/24/2022 11:44:54 AM";"Licensed";"10/17/2025 9:36:35 PM";"\Device\HarddiskVolume2";"\Device\HarddiskVolume4";"C:\Windows\system32";"C:\Windows";"64-bit";"5.1.17763.7919";"-360";"False";"False";"256";"CAINT1";"Member Server";"LM_Workstation,LM_Server,NT,Server_NT,DFS";"S4BGM690";"Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz";"16";"32";"63.55";"P:\pagefile.sys";"False";"65536";"39";"111";"False";"Volume:GVLK";"CB77DE38-0CD7-11EA-860E-0A94EF9EE639";"CAINT1.win.dom.sandvik.com"
"CNCATSM01";"IBM";"IBM System x3650 M4: -[7915D2G]-";"Microsoft Windows Server 2016 Standard";"0";"14393";"10.0.14393";"1/19/2019 9:52:10 PM";"Licensed";"10/18/2025 10:50:24 AM";"\Device\HarddiskVolume1";"\Device\HarddiskVolume3";"C:\WINDOWS\system32";"C:\WINDOWS";"64-bit";"5.1.14393.8519";"480";"False";"False";"256";"CNCATSM01";"Member Server";"LM_Workstation,LM_Server,NT,Server_NT";"06CDHDY";"Intel(R) Xeon(R) CPU E5-2630 0 @ 2.30GHz";"12";"24";"63.97";"C:\pagefile.sys,E:\pagefile.sys";"False";"4000,4096";"0,0";"0,0";"False,False";"Volume:GVLK";"3442D1B2-22B6-11E4-A817-40F2E99BB7B2";"CNCATSM01.win.dom.sandvik.com"
"CNDNT41";"Lenovo";"ThinkSystem SR650 -[7X06CTO1WW]-";"Microsoft Windows Server 2022 Standard";"0";"20348";"10.0.20348";"5/10/2025 3:12:49 PM";"Licensed";"10/20/2025 12:12:43 AM";"\Device\HarddiskVolume2";"\Device\HarddiskVolume4";"C:\WINDOWS\system32";"C:\WINDOWS";"64-bit";"5.1.20348.4294";"480";"False";"False";"256";"CNDNT41";"Member Server";"LM_Workstation,LM_Server,NT,Server_NT";"S4CNR313";"Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz";"8";"16";"15.69";"C:\pagefile.sys";"True";"16384";"354";"562";"False";"Volume:GVLK";"AFFD6CBE-A3DF-11EB-AE5A-3A68DD4AE23F";"CNDNT41.win.dom.sandvik.com"
