"MachineName";"DeviceID";"VolumeName";"SizeGb";"FreeSpaceGb";"FreeSpace(%)";"VolumeSerialNumber";"Description";"Compressed";"VolumeDirty";"SupportsDiskQuotas";"DiskQueueLength"
"atdnt32";"C:";"System";"200";"41,67";"20,85";"98B076A5";"Local Fixed Disk";"False";"False";"True";"0"
"atdnt32";"D:";"Data";"1229";"151,94";"12,36";"3265E8DA";"Local Fixed Disk";"False";"False";"True";"0"
"atdnt32";"W:";"System Reserved";"1";"0,06";"60,00";"B0A6D583";"Local Fixed Disk";"False";"False";"True";"0"
"atdnt51";"C:";"OSDisk";"558";"371.14";"66.58";"A2514C4C";"Local Fixed Disk";"False";"False";"True";"0"
"atdnt51";"E:";"SCCM Data";"4463";"3276.39";"73.42";"9AC1CE0C";"Local Fixed Disk";"False";"False";"True";"0"
"atdnt53";"C:";"OSDisk";"300";"136,13";"45,50";"30482526";"Local Fixed Disk";"False";"False";"True";"0,01"
"atdnt53";"D:";"Teamcenter_D";"1600";"394,81";"24,68";"C4319F69";"Local Fixed Disk";"False";"False";"True";"0"
"atdnt53";"E:";"Teamcenter_E";"12288";"3826,16";"31,14";"98D32E09";"Local Fixed Disk";"False";"False";"True";"0"
"atdnt53";"F:";"Database";"600";"170,81";"28,47";"CA319D46";"Local Fixed Disk";"False";"False";"True";"0"
"auint105";"C:";"Windows";"300";"179.16";"59.72%";"0676C6BB";"Local Fixed Disk";"False";"False";"True";"0"
"auint105";"D:";"Kyndryl Data";"50";"39.61";"79.22%";"54FF8898";"Local Fixed Disk";"False";"False";"True";"0"
"auint105";"E:";"SQL System";"300";"297.11";"99.04%";"6E101C85";"Local Fixed Disk";"False";"False";"True";"0"
"auint105";"F:";"TempDB";"200";"190.9";"95.45%";"F454A915";"Local Fixed Disk";"False";"False";"True";"0"
"auint105";"G:";"TempLog";"100";"98.91";"98.91%";"3C7A8BCC";"Local Fixed Disk";"False";"False";"True";"0"
"auint105";"H:";"UserDB";"1024";"1018.29";"99.44%";"DEE98E2C";"Local Fixed Disk";"False";"False";"True";"0"
"auint105";"J:";"UserLog";"1024";"1018.9";"99.50%";"ACB761F9";"Local Fixed Disk";"False";"False";"True";"0"
"auint105";"L:";"VEEAM_STG";"6703";"6301.6";"94.02%";"1C380FCD";"Local Fixed Disk";"False";"False";"False";"0"
"brint60";"C:";"Windows";"150";"107.54";"71.69%";"66ECDC0E";"Local Fixed Disk";"False";"False";"True";"0"
"brint60";"D:";"Kyndryl";"50";"45.06";"90.12%";"4E7295F0";"Local Fixed Disk";"False";"False";"True";"0"
"brint60";"E:";"DATA";"4703";"1425.62";"30.31%";"EC1A50F5";"Local Fixed Disk";"False";"False";"True";"0"
"brint60";"F:";"SCCM";"2000";"1285.84";"64.29%";"CE043B0B";"Local Fixed Disk";"False";"False";"True";"0"
"brint60";"G:";"Veeam_STG";"13406";"9788.74";"73.02%";"80BA4DD2";"Local Fixed Disk";"False";"False";"True";"0"
"brint60";"P:";"PageFile";"200";"103.9";"51.95%";"1E8EF79E";"Local Fixed Disk";"False";"False";"True";"0"
"btipdcsvr";"C:";"OS";"221";"85.39";"38.78%";"D80981D5";"Local Fixed Disk";"False";"False";"True";"0"
"btipdcsvr";"D:";"DATA";"2235";"2005.95";"89.78%";"880E5B49";"Local Fixed Disk";"False";"False";"True";"0"
"btipdcsvr";"F:";"DCROOT 2018_08_03 08:20 DISK_01";"932";"330.61";"35.49%";"387073C6";"Local Fixed Disk";"False";"False";"True";"0"
"caint13";"C:";"Windows";"151";"71.92";"47.86%";"B2BA446F";"Local Fixed Disk";"False";"False";"True";"0"
"caint13";"D:";"Kyndryl";"50";"46.86";"93.72%";"5E49D6D0";"Local Fixed Disk";"False";"False";"True";"0"
"caint13";"E:";"Data";"9172";"5945.45";"64.83%";"22076CCB";"Local Fixed Disk";"False";"False";"True";"0"
"caint13";"F:";"SCCM";"2000";"346.92";"17.35%";"C6F5EB6F";"Local Fixed Disk";"False";"False";"True";"0"
"caint13";"J:";"VeeamSTG";"13406";"5225.75";"38.98%";"D8852C4A";"Local Fixed Disk";"False";"False";"False";"0"
"caint13";"P:";"Pagefile";"200";"103.9";"51.95%";"946E9D18";"Local Fixed Disk";"False";"False";"True";"0"
"caint1";"C:";"Windows";"178";"143.21";"80.52%";"B26D13D0";"Local Fixed Disk";"False";"False";"True";"0.02"
"caint1";"D:";"New Volume";"50";"40.9";"81.80%";"88B1BDB9";"Local Fixed Disk";"False";"False";"True";"0"
"caint1";"E:";"DATA";"4785";"1200.54";"25.09%";"A6D527B3";"Local Fixed Disk";"False";"False";"True";"0"
"caint1";"L:";"Veeam_STG";"7016";"3221.45";"45.92%";"4C948DC1";"Local Fixed Disk";"False";"False";"False";"0"
"caint1";"P:";"Pagefile";"120";"55.9";"46.58%";"F8585ADC";"Local Fixed Disk";"False";"False";"True";"0"
"cncatsm01";"C:";"SYSTEM";"100";"16.87";"16.93";"0A4A6CC8";"Local Fixed Disk";"False";"False";"True";"0"
"cncatsm01";"D:";"IBM";"36";"14.47";"40.21";"906C4429";"Local Fixed Disk";"False";"False";"True";"0"
"cncatsm01";"E:";"Page File";"100";"95.89";"95.89";"9C9FCD02";"Local Fixed Disk";"False";"False";"True";"0"
